tDept,tNumRatings,overall_rating
Film & Television,7,4.7
Sociology,11,4.7
Latin American Studies,32,1.8
Not Specified,6,4.5
Political Science,3,3.2
Anthropology,11,3.5
Political Science,17,4.6
English,13,3.7
Linguistics,2,2.8
Film & Television,5,4.2
Psychology,35,4.2
Mathematics,27,4.6
Film,5,3.2
Psychology,10,2.5
Languages,15,2.3
Communication,4,4.8
Communication,12,4.1
Spanish,2,3.0
Italian,10,4.5
Health Science,3,2.0
Russian Studies,0,N/A
Writing,1,4.5
African Studies,1,5.0
Theater,26,4.3
Economics,8,3.2
Graphic Arts,5,3.3
Cinema,5,3.9
Theater,1,3.5
Ethnic Studies,44,3.2
English,7,3.7
Cultural Studies,1,5.0
Writing,40,4.2
Social Science,23,3.6
Spanish,13,4.3
Spanish,7,4.9
French,10,4.1
Psychology,124,3.5
Writing,12,4.5
Teaching & Learning,1,4.5
Anthropology,21,4.4
Liberal Studies,7,2.6
Cinema,5,1.8
Humanities,61,3.2
Film,13,3.5
Speech & Hearing Sciences,1,4.0
Interdisciplinary Studies,10,4.1
Languages,4,4.8
History,19,4.2
Social Science,29,3.8
French,3,4.7
Biology,8,2.8
Economics,6,2.3
English,13,3.8
Education,13,4.0
Spanish,3,4.0
Economics,7,4.4
Business,50,4.8
Psychology,19,4.6
Nutrition & Foods,9,3.6
Biochemistry,13,4.1
Sociology,36,4.2
Film & Television,14,4.5
Humanities,3,4.2
Education,1,4.5
Classics,2,4.5
Communication,6,4.8
Philosophy,26,4.6
Chemistry,0,N/A
Spanish,22,4.7
English,12,3.9
Psychology,5,4.1
Mathematics,4,4.3
Mathematics,12,1.8
Biology,27,2.5
History,9,4.8
Theater,2,4.5
Chemistry,10,2.5
Film,17,4.8
Animation,9,4.6
French,16,4.3
Not Specified,10,4.7
Cultural Studies,4,4.5
Anthropology,26,4.2
Film & Television,10,3.9
Philosophy,21,3.7
Communication,6,4.0
Leadership,0,N/A
Psychology,3,3.3
Italian,3,4.0
Economics,1,5.0
Writing,21,3.4
Linguistics,8,2.4
Writing,16,4.1
Theater,12,2.5
Film,14,3.8
Linguistics,7,3.9
Cultural Studies,100,3.1
Philosophy,8,2.5
Writing,11,4.1
Communication,1,4.5
Classics,23,4.8
Film & Television,20,4.7
Social Work,2,3.8
Literature,11,4.1
Art History,2,4.2
Computer Science,2,4.2
Art,5,4.2
Film & Television,4,2.5
Theater,4,4.2
Film,37,3.9
Literature,8,4.4
Psychology,92,4.3
Spanish,9,4.7
English,38,3.5
Journalism,11,4.2
Writing,4,5.0
Dance,5,4.8
Political Science,50,2.8
Political Science,6,2.2
Writing,16,4.4
Theology,20,3.9
Writing,9,4.6
Music,7,4.7
Film,14,3.9
History,8,3.7
Mathematics,9,3.1
Writing,30,4.3
Anthropology,44,2.7
Business Economics,1,4.5
Languages,8,4.8
Film & Television,2,4.8
Philosophy,18,3.1
Italian,1,4.0
Music,4,2.8
Latin American Studies,13,4.3
Cultural Studies,28,3.4
History,4,5.0
History,11,3.2
English,7,3.0
Music,8,3.5
Film & Television,7,4.6
English,27,4.5
Economics,4,4.5
Communication,5,2.8
Film & Television,3,5.0
Nutrition & Foods,3,3.7
Mathematics,22,4.7
History,16,4.8
Physics,33,3.5
Nutrition & Foods,12,4.8
Writing,12,3.1
Computer Science,8,2.9
Anthropology,1,5.0
Mathematics,8,3.6
Journalism,1,3.0
Economics,21,4.2
French,2,5.0
Political Science,5,4.5
Writing,43,2.1
Liberal Arts & Sciences,6,4.0
Communication,10,3.8
French,52,5.0
Communication,4,4.5
French,6,4.2
Music,11,2.7
Mathematics,30,3.3
Economics,87,3.3
Physics,2,5.0
Communication,1,2.5
Economics,11,2.7
Photography,3,4.7
Accounting,7,2.2
Social Science,8,4.4
Accounting,12,4.9
Environmental Science,3,4.2
Expository Writing,35,3.5
Biology,5,3.3
Film,1,1.0
Music,26,4.3
French,7,1.4
Writing,26,4.2
Humanities,75,4.8
Economics,27,2.6
Business,3,4.7
Linguistics,14,3.9
English,9,2.8
Not Specified,3,3.0
Biology,4,3.7
Philosophy,12,4.4
Speech & Hearing Sciences,1,2.5
Computer Science,60,3.8
Medicine,4,4.5
Philosophy,2,3.8
English,67,2.9
Marketing,9,4.6
Management,11,3.5
Medicine,1,5.0
Sociology,8,2.2
French,17,3.8
French,2,4.2
French,3,4.0
Communication,1,4.5
Psychology,2,5.0
Classics,23,4.8
Film & Television,20,4.7
Social Work,2,3.8
Literature,11,4.1
Art History,2,4.2
Computer Science,2,4.2
English,6,4.3
Anthropology,2,2.5
Nutrition & Foods,0,N/A
Photography,4,4.8
Nursing,1,5.0
